;;;;;$ 910;1,50;;;;
;;;;;;;;;;
FAMILIA PRODUCTOS;DESCRIPCIÓN;UNIDAD DE MEDIDA;COSTO NETO PESOS;PRECIO COSTO DÓLAR;VALOR DÓLAR $;PORCENTAJE;PRECIO VENTA NETO ;;;
\PROVISIONES\BEBESTIBLES;RED WINE IN PLASTIC 5 LT;BTLL;$ 5.798;6,37;$ 910;1,50;9,56;;;
\PROVISIONES\BEBESTIBLES;ROSE CHILE 750 CC;BTLL;$ 3.697;4,06;$ 910;1,50;6,09;;;
\PROVISIONES\BEBESTIBLES;SANTA CAROLINA CHARDONNAY 750ML;BTLL;$ 4.990;5,48;$ 910;1,50;8,23;;;
\PROVISIONES\BEBESTIBLES;SANTA EMILIANA ROSE WINE BTLL;BTLL;$ 2.226;2,45;$ 910;1,50;3,67;;;
\PROVISIONES\BEBESTIBLES;SANTA HELENA WINE 1 LT - VINO;BTLL;$ 1.672;1,84;$ 910;1,50;2,76;;;
\PROVISIONES\BEBESTIBLES;SIERRA MORENA RON;BTLL;$ 4.530;4,98;$ 910;1,50;7,47;;;
\PROVISIONES\BEBESTIBLES;SMIRNOFF 750 CC;BTLL;$ 5.873;6,45;$ 910;1,50;9,68;;;
\PROVISIONES\BEBESTIBLES;SPRITE 1,5 LT;BTLL;$ 1.680;1,85;$ 910;1,50;2,77;;;
\PROVISIONES\BEBESTIBLES;SPRITE LATA;TIN;$ 541;0,59;$ 910;1,50;0,89;;;
\PROVISIONES\BEBESTIBLES;STRAWBERRY JUICE - JUGO DE FRUTILLA;LT;$ 1.058;1,16;$ 910;1,50;1,74;;;
\PROVISIONES\BEBESTIBLES;TARAPACA GRAN RESERVA RED - VINO TINTO;BTLL;$ 7.805;8,58;$ 910;1,50;12,87;;;
\PROVISIONES\BEBESTIBLES;TOCORNAL RED WINE 5 LT - VINO TOCORNAL TINTO 5 LT;BIDON;$ 57.840;63,56;$ 910;1,50;95,34;;;
\PROVISIONES\BEBESTIBLES;TORRE 10 BRANDY;BTLL;$ 11.345;12,47;$ 910;1,50;18,70;;;
\PROVISIONES\BEBESTIBLES;VINO 120 3 MEDALLAS;BTLL;$ 2.268;2,49;$ 910;1,50;3,74;;;
\PROVISIONES\BEBESTIBLES;VINO 120 RESERVA ESPECIAL 750 CC;LT;$ 2.932;3,22;$ 910;1,50;4,83;;;
\PROVISIONES\BEBESTIBLES;VINO 120 RESERVA ESPECIAL CABERNET 750 CC;BTLL;$ 2.956;3,25;$ 910;1,50;4,87;;;
\PROVISIONES\BEBESTIBLES;VINO BLANCO EN TETRA- WHITE WINE PACK 2LT;TETRA;$ 3.400;3,74;$ 910;1,50;5,60;;;
\PROVISIONES\BEBESTIBLES;VINO CASA SILVA RESERVA 750CC;BTLL;$ 5.450;5,99;$ 910;1,50;8,98;;;
\PROVISIONES\BEBESTIBLES;VINO CASA SILVA RESERVA CHARDONAY;BTLL;$ 5.450;5,99;$ 910;1,50;8,98;;;
\PROVISIONES\BEBESTIBLES;VINO CASA SILVA RESERVA MALBEC;BTLL;$ 5.450;5,99;$ 910;1,50;8,98;;;
\PROVISIONES\BEBESTIBLES;VINO CASA SILVA RESERVA MERLOT;BTLL;$ 5.450;5,99;$ 910;1,50;8,98;;;
\PROVISIONES\BEBESTIBLES;VINO CASA SILVA RESERVA PINOT NOIR;UNID;$ 5.450;5,99;$ 910;1,50;8,98;;;
\PROVISIONES\BEBESTIBLES;VINO COUSIÑO MACUL DON LUIS CABERNET ;BTLL;$ 3.232;3,55;$ 910;1,50;5,33;;;
\PROVISIONES\BEBESTIBLES;VINO CAUSIÑO MACUL CHARDONAY 750 CC DON LUIS ;BTLL;$ 3.857;4,24;$ 910;1,50;6,36;;;
\PROVISIONES\BEBESTIBLES;VINO CAUSIÑO MACUL DON LUIS 750CC;UNID;$ 3.857;4,24;$ 910;1,50;6,36;;;
\PROVISIONES\BEBESTIBLES;VINO CAUSIÑO MACUL MERLOT 750 CC;BTLL;$ 3.857;4,24;$ 910;1,50;6,36;;;
\PROVISIONES\BEBESTIBLES;VINO GATO VARIETAL CABERNET 700 CC;BTLL;$ 1.684;1,85;$ 910;1,50;2,78;;;
\PROVISIONES\BEBESTIBLES;VINO GATO VARIETAL CARMENERE 700 CC;BTLL;$ 1.684;1,85;$ 910;1,50;2,78;;;
\PROVISIONES\BEBESTIBLES;VINO GATO PREMIUM CABERNET 750 CC;BTLL;$ 2.008;2,21;$ 910;1,50;3,31;;;
\PROVISIONES\BEBESTIBLES;VINO LAS MULAS RESERVA 750 CC CABERNET;BTLL;$ 5.210;5,73;$ 910;1,50;8,59;;;
\PROVISIONES\BEBESTIBLES;VINO MARQUEZ DE CASA 750CC;UNID;$ 9.850;10,82;$ 910;1,50;16,24;;;
\PROVISIONES\BEBESTIBLES;VINO MARQUEZ DE CASA CONCHA CABERNET;BTLL;$ 9.850;10,82;$ 910;1,50;16,24;;;
\PROVISIONES\BEBESTIBLES;VINO MARQUEZ DE CASA CONCHA CARMENERE;BTLL;$ 9.850;10,82;$ 910;1,50;16,24;;;
\PROVISIONES\BEBESTIBLES;VINO MARQUEZ DE CASA CONCHA CHARDONAY;BTLL;$ 9.850;10,82;$ 910;1,50;16,24;;;
\PROVISIONES\BEBESTIBLES;VINO MARQUEZ DE CASA CONCHA SAUVIGNON BLANC;BTLL;$ 9.850;10,82;$ 910;1,50;16,24;;;
\PROVISIONES\BEBESTIBLES;VINO MONTES ALPHA CABERNET 13.5° 750 CC;BTLL;$ 10.271;11,29;$ 910;1,50;16,93;;;
\PROVISIONES\BEBESTIBLES;VINO SANTA CAROLINA 3 EST CABERNET;BTLL;$ 1.933;2,12;$ 910;1,50;3,19;;;
\PROVISIONES\BEBESTIBLES;VINO SANTA CAROLINA 3 EST CARMENERE;BTLL;$ 1.933;2,12;$ 910;1,50;3,19;;;
\PROVISIONES\BEBESTIBLES;VINO SANTA CAROLINA 3 ESTRELLAS 700 CC;BTLL;$ 1.933;2,12;$ 910;1,50;3,19;;;
\PROVISIONES\BEBESTIBLES;VINO SANTA DIGNA RES 700;BTLL;$ 6.470;7,11;$ 910;1,50;10,66;;;
\PROVISIONES\BEBESTIBLES;VINO SANTA EMILIANA CHARDONAY;BTLL;$ 2.226;2,45;$ 910;1,50;3,67;;;
\PROVISIONES\BEBESTIBLES;VINO SANTA EMILIANA MERLOT;BTLL;$ 2.226;2,45;$ 910;1,50;3,67;;;
\PROVISIONES\BEBESTIBLES;VINO UNDURRAGA RHIN 750;BTLL;$ 2.512;2,76;$ 910;1,50;4,14;;;
\PROVISIONES\BEBESTIBLES;VITAL SIN GAS X06 1.600 CC;BOX;$ 3.005;3,30;$ 910;1,50;4,95;;;
\PROVISIONES\BEBESTIBLES;VODKA ABSOLUT CITRON;BTLL;$ 9.780;10,75;$ 910;1,50;16,12;;;
\PROVISIONES\BEBESTIBLES;WHISKEY CHEAP PRICE;BTLL;$ 4.450;4,89;$ 910;1,50;7,34;;;
\PROVISIONES\BEBESTIBLES;WHISKY JACK DANIELS;BTLL;$ 20.400;22,42;$ 910;1,50;33,63;;;
\PROVISIONES\BEBESTIBLES;WINE CASINO MACUL DON LUIS RED - VINO CASINO MACUL DON LUIS TINTO;BTLL;$ 4.865;5,35;$ 910;1,50;8,02;;;
\PROVISIONES\BEBESTIBLES;WINE CAUSIÑO MACUL CABERNET;BTLL;$ 4.865;5,35;$ 910;1,50;8,02;;;
\PROVISIONES\BEBESTIBLES;WINE CAUSIÑO MACUL SAUVIGNON;BTLL;$ 4.865;5,35;$ 910;1,50;8,02;;;
\PROVISIONES\BEBESTIBLES;WINE GRAN TARAPACA 750 CC - VINO;BTLL;$ 2.865;3,15;$ 910;1,50;4,72;;;
\PROVISIONES\BEBESTIBLES;WINE GRAN TARAPACA CABERNET;BTLL;$ 2.865;3,15;$ 910;1,50;4,72;;;
\PROVISIONES\BEBESTIBLES;WINE GRAN TARAPACA CHARDONAY;BTLL;$ 2.865;3,15;$ 910;1,50;4,72;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
