;;;;;$ 930;1,55;;;;;;
;;;;;;;;;;;;
FAMILIA PRODUCTOS;DESCRIPCIÓN;UNIDAD DE MEDIDA;VALOR PESOS $;PRECIO COSTO NETO  ;TIPO CAMBIO $;PORCENTAJE;PRECIO VENTA NETO ;;;;;
\PROVISIONES\ABARROTES;BISCUIT FRAC ;PKT;$ 798;0,86;$ 930;1,55;;;;;;
\PROVISIONES\ABARROTES;BISCUIT PLAIN - GALLETAS PLANAS ;KGS;$ 6.650;7,15;$ 930;1,55;11,08;;;;;
\PROVISIONES\ABARROTES;BISCUIT SALTED LOCAL BRAND 140 GR - GALLETAS SALADAS ;PKT;$ 1.513;1,63;$ 930;1,55;2,52;;;;;
\PROVISIONES\ABARROTES;BISCUIT TEA TIME 400 GR - GALLETAS PARA TÈ 400 GRS;PKT;$ 4.194;4,51;$ 930;1,55;6,99;;;;;
\PROVISIONES\ABARROTES;BISCUIT WHOLE MEAL  - GALLETA AVENA ;PKT;$ 1.260;1,35;$ 930;1,55;2,10;;;;;
\PROVISIONES\ABARROTES;BISCUIT/BAR NATURE VALLEY 200GRS/PKT;PKT;$ 4.244;;$ 930;1,55;;;;;;
\PROVISIONES\ABARROTES;BITTER CHOCOLAT 100 GRS - CHOCOLATE AMARGO ;UNID;$ 1.810;1,95;$ 930;1,55;3,02;;;;;
\PROVISIONES\ABARROTES;BLACK EYE BEANS - POROTO NEGRO;KGS;$ 2.605;2,80;$ 930;1,55;4,34;;;;;
\PROVISIONES\ABARROTES;BLACK FOREST CAKE FRESH - TORTA SELVA NEGRA 15 PERSON 23-24cm;PCS;$ 23.529;25,30;$ 930;1,55;39,22;;;;;
\PROVISIONES\ABARROTES;BLACK PEPPER POWDER 100GR - PIMIENTA NEGRA 100 GR;PKT;$ 1.770;1,90;$ 930;1,55;2,95;;;;;
\PROVISIONES\ABARROTES;BLACK PEPPER POWDER KILO - PIMIENTA NEGRA KILO;KGS;$ 17.700;19,03;$ 930;1,55;29,50;;;;;
\PROVISIONES\ABARROTES;BLACKBERRY JAM - MERMELADA DE MORA 370 GRS;PKT; $3.200 ;3,44;$ 930;1,55;5,33;;;;;
\PROVISIONES\ABARROTES;BOMBONES ESPECIALIDADES 250 GR ;BAG;$ 4.445;4,78;$ 930;1,55;7,41;;;;;
\PROVISIONES\ABARROTES;BON O BON CLASSIC 450 GRS BOX - BON O BON ;BOX;$ 6.294;6,77;$ 930;1,55;10,49;;;;;
