;;;;;$ 870;1,55;
;;;;;;;
FAMILIA PRODUCTOS;DESCRIPCIÓN;UNIDAD DE MEDIDA;VALOR PESOS $;PRECIO COSTO NETO  ;TIPO CAMBIO $;PORCENTAJE;PRECIO VENTA NETO 
\PROVISIONES\TOSTADURIA;CHUÑO – CHUÑO;GRS; $2.983 ;$ 3,43;$ 870;1,55;5,31
\PROVISIONES\TOSTADURIA;WHOLE CORIANDER / WHOLE CILANTRO – CILANTRO ENTERO;GRS; $4.118 ;$ 4,73;$ 870;1,55;7,34
\PROVISIONES\TOSTADURIA;CORIANDER POWDER – CILANTRO POLVO;GRS; $4.370 ;$ 5,02;$ 870;1,55;7,79
\PROVISIONES\TOSTADURIA;PITTED DRIED PLUMS – CIRUELAS DESHIDRATADAS S/CAROZO;GRS; $6.723 ;$ 7,73;$ 870;1,55;11,98
\PROVISIONES\TOSTADURIA;WHOLE CLOVES – CLAVO OLOR ENTERO;GRS; $24.370 ;$ 28,01;$ 870;1,55;43,42
\PROVISIONES\TOSTADURIA;CLOVES POWDER – CLAVO OLOR POLVO;GRS; $22.689 ;$ 26,08;$ 870;1,55;40,42
\PROVISIONES\TOSTADURIA;COCONUT CHIPS – COCO CHIPS;GRS; $9.244 ;$ 10,63;$ 870;1,55;16,47
\PROVISIONES\TOSTADURIA;TOASTED COCONUT CHIPS – COCO CHIPS TOSTADO;GRS; $9.664 ;$ 11,11;$ 870;1,55;17,22
\PROVISIONES\TOSTADURIA;COCONUT CUBES – COCO CUBO;GRS; $12.185 ;$ 14,01;$ 870;1,55;21,71
\PROVISIONES\TOSTADURIA;SHREDDED / GRATED COCONUT – COCO RALLADO;GRS; $6.128 ;$ 7,04;$ 870;1,55;10,92
\PROVISIONES\TOSTADURIA;WHOLE CUMIN – COMINO ENTERO;GRS; $14.286 ;$ 16,42;$ 870;1,55;25,45
\PROVISIONES\TOSTADURIA;CUMIN POWDER – COMINO POLVO;GRS; $14.706 ;$ 16,90;$ 870;1,55;26,20
\PROVISIONES\TOSTADURIA;CRANBERRIES – CRANBERRYS;GRS; $7.479 ;$ 8,60;$ 870;1,55;13,32
\PROVISIONES\TOSTADURIA;COCONUT CREAM 500G – CREMA DE COCO 500GRS;GRS; $1.597 ;$ 1,84;$ 870;1,55;2,85
\PROVISIONES\TOSTADURIA;TURMERIC POWDER – CÚRCUMA MOLIDA;GRS; $5.798 ;$ 6,66;$ 870;1,55;10,33
\PROVISIONES\TOSTADURIA;CURRY – CURRY;GRS; $4.118 ;$ 4,73;$ 870;1,55;7,34
\PROVISIONES\TOSTADURIA;COUSCOUS – CUS-CUS;GRS; $3.790 ;$ 4,36;$ 870;1,55;6,75
\PROVISIONES\TOSTADURIA;TURKISH APRICOTS – DAMASCOS TURCOS;GRS; $11.765 ;$ 13,52;$ 870;1,55;20,96
\PROVISIONES\TOSTADURIA;DATES WITH PIT – DÁTILES CON CAROZO;GRS; $4.118 ;$ 4,73;$ 870;1,55;7,34
\PROVISIONES\TOSTADURIA;PITTED DATES – DÁTILES S/CAROZO;GRS; $5.042 ;$ 5,80;$ 870;1,55;8,98
\PROVISIONES\TOSTADURIA;PINO EMPANADA FOR FRYING – EMPANADA DE PINO PARA FREÍR;GRS; $3.529 ;$ 4,06;$ 870;1,55;6,29
\PROVISIONES\TOSTADURIA;CHEESE EMPANADA FOR FRYING 10U – EMPANADA DE QUESO PARA FREÍR 10U;GRS; $2.521 ;$ 2,90;$ 870;1,55;4,49
\PROVISIONES\TOSTADURIA;CHEESE EMPANADA FOR FRYING 20U – EMPANADA DE QUESO PARA FREÍR 20U;GRS; $5.042 ;$ 5,80;$ 870;1,55;8,98
\PROVISIONES\TOSTADURIA;COCKTAIL EMPANADAS – EMPANADITAS DE COCTEL;GRS; $4.370 ;$ 5,02;$ 870;1,55;7,79
\PROVISIONES\TOSTADURIA;WHOLE DILL – ENELDO ENTERO;GRS; $5.630 ;$ 6,47;$ 870;1,55;10,03
\PROVISIONES\TOSTADURIA;WHOLE TARRAGON – ESTRAGÓN ENTERO;GRS; $21.849 ;$ 25,11;$ 870;1,55;38,93
\PROVISIONES\TOSTADURIA;HIBISCUS FLOWER – FLOR DE HIBISCUS / JAMAICA;GRS; $16.807 ;$ 19,32;$ 870;1,55;29,94
\PROVISIONES\TOSTADURIA;CANDIED FRUITS – FRUTAS CONFITADAS;GRS; $5.462 ;$ 6,28;$ 870;1,55;9,73
\PROVISIONES\TOSTADURIA;GARAM MASALA – GARAM MASALA;GRS; $8.403 ;$ 9,66;$ 870;1,55;14,97
\PROVISIONES\TOSTADURIA;CHICKPEAS / GARBANZOS – GARBANZOS;GRS; $2.941 ;$ 3,38;$ 870;1,55;5,24
\PROVISIONES\TOSTADURIA;UNFLAVORED GELATIN – GELATINA SIN SABOR;GRS; $8.403 ;$ 9,66;$ 870;1,55;14,97
\PROVISIONES\TOSTADURIA;GLUTEN – GLUTEN;GRS; $4.034 ;$ 4,64;$ 870;1,55;7,19
\PROVISIONES\TOSTADURIA;GOJI BERRIES – GOJI BAYAS;GRS; $10.924 ;$ 12,56;$ 870;1,55;19,46
\PROVISIONES\TOSTADURIA;GRANOLA – GRANOLA;GRS; $5.714 ;$ 6,57;$ 870;1,55;10,18
\PROVISIONES\TOSTADURIA;SALTED FAVA BEANS – HABAS SALADAS;GRS; $9.832 ;$ 11,30;$ 870;1,55;17,52
\PROVISIONES\TOSTADURIA;ALMOND MEAL WITH SKIN – HARINA DE ALMENDRA C/PIEL;GRS; $11.765 ;$ 13,52;$ 870;1,55;20,96
\PROVISIONES\TOSTADURIA;BLANCHED ALMOND FLOUR – HARINA DE ALMENDRA S/PIEL;GRS; $12.605 ;$ 14,49;$ 870;1,55;22,46
\PROVISIONES\TOSTADURIA;RICE FLOUR – HARINA DE ARROZ;GRS; $2.017 ;$ 2,32;$ 870;1,55;3,59
\PROVISIONES\TOSTADURIA;OAT FLOUR – HARINA DE AVENA;GRS; $1.672 ;$ 1,92;$ 870;1,55;2,98
\PROVISIONES\TOSTADURIA;RYE FLOUR – HARINA DE CENTENO;GRS; $1.933 ;$ 2,22;$ 870;1,55;3,44
\PROVISIONES\TOSTADURIA;COCONUT FLOUR – HARINA DE COCO;GRS; $6.723 ;$ 7,73;$ 870;1,55;11,98
\PROVISIONES\TOSTADURIA;CHICKPEA FLOUR / GARBANZO FLOUR – HARINA DE GARBANZO;GRS; $2.689 ;$ 3,09;$ 870;1,55;4,79
\PROVISIONES\TOSTADURIA;FLAXSEED MEAL / FLAX FLOUR – HARINA DE LINAZA;GRS; $4.160 ;$ 4,78;$ 870;1,55;7,41
\PROVISIONES\TOSTADURIA;MACA POWDER / MACA FLOUR – HARINA DE MACA;GRS; $8.067 ;$ 9,27;$ 870;1,55;14,37
\PROVISIONES\TOSTADURIA;CORN FLOUR – HARINA DE MAÍZ;GRS; $1.681 ;$ 1,93;$ 870;1,55;2,99
\PROVISIONES\TOSTADURIA;WHOLE WHEAT FLOUR / WHOLE GRAIN FLOUR – HARINA INTEGRAL;GRS; $1.513 ;$ 1,74;$ 870;1,55;2,70
\PROVISIONES\TOSTADURIA;MANIOC / TAPIOCA FLOUR – HARINA MANDIOCA;GRS; $2.941 ;$ 3,38;$ 870;1,55;5,24
\PROVISIONES\TOSTADURIA;TOASTED FLOUR – HARINA TOSTADA;GRS; $1.403 ;$ 1,61;$ 870;1,55;2,50
\PROVISIONES\TOSTADURIA;DRIED HIBISCUS – HIBISCUS DESHIDRATADO;GRS; $12.521 ;$ 14,39;$ 870;1,55;22,31
\PROVISIONES\TOSTADURIA;DRIED FIGS – HIGOS SECOS;GRS; $7.143 ;$ 8,21;$ 870;1,55;12,73
\PROVISIONES\TOSTADURIA;FENNEL – HINOJO;GRS; $5.966 ;$ 6,86;$ 870;1,55;10,63
\PROVISIONES\TOSTADURIA;LARGE DRIED PEACHES / LARGE HUESILLOS – HUESILLOS GRANDE;GRS; $7.143 ;$ 8,21;$ 870;1,55;12,73
\PROVISIONES\TOSTADURIA;MEDIUM HUESILLOS – HUESILLOS MEDIANOS;GRS; $5.966 ;$ 6,86;$ 870;1,55;10,63
\PROVISIONES\TOSTADURIA;CANDIED GINGER – JENGIBRE CONFITADO;GRS; $10.924 ;$ 12,56;$ 870;1,55;19,46
\PROVISIONES\TOSTADURIA;GINGER POWDER – JENGIBRE POLVO;GRS; $8.824 ;$ 10,14;$ 870;1,55;15,72
\PROVISIONES\TOSTADURIA;DRIED KIWI – KIWI DESHIDRATADO;GRS; $10.924 ;$ 12,56;$ 870;1,55;19,46
\PROVISIONES\TOSTADURIA;BAY LEAF / LAUREL – LAUREL;GRS; $12.605 ;$ 14,49;$ 870;1,55;22,46
\PROVISIONES\TOSTADURIA;3MM LENTIL – LENTEJA 3MM;GRS; $2.689 ;$ 3,09;$ 870;1,55;4,79
\PROVISIONES\TOSTADURIA;LENTILS – LENTEJAS;GRS; $2.941 ;$ 3,38;$ 870;1,55;5,24
\PROVISIONES\TOSTADURIA;BLACK LENTILS – LENTEJAS NEGRAS;GRS; $2.689 ;$ 3,09;$ 870;1,55;4,79
\PROVISIONES\TOSTADURIA;RED SPLIT LENTILS – LENTEJAS ROJAS PELADAS;GRS; $2.857 ;$ 3,28;$ 870;1,55;5,09
\PROVISIONES\TOSTADURIA;WHOLE FLAXSEED – LINAZA ENTERA;GRS; $3.361 ;$ 3,86;$ 870;1,55;5,99
\PROVISIONES\TOSTADURIA;CORNSTARCH / MAIZENA – MAICENA;GRS; $2.521 ;$ 2,90;$ 870;1,55;4,49
\PROVISIONES\TOSTADURIA;POPCORN – MAÍZ POP CORN;GRS; $1.639 ;$ 1,88;$ 870;1,55;2,92
\PROVISIONES\TOSTADURIA;DRIED MANGO – MANGO DESHIDRATADO;GRS; $10.924 ;$ 12,56;$ 870;1,55;19,46
\PROVISIONES\TOSTADURIA;RAW BLANCHED PEANUT – MANÍ BLANCHE (CRUDO);GRS; $3.613 ;$ 4,15;$ 870;1,55;6,44
\PROVISIONES\TOSTADURIA;PEANUT WITH SHELL – MANÍ CON CÁSCARA;GRS; $5.462 ;$ 6,28;$ 870;1,55;9,73
\PROVISIONES\TOSTADURIA;CHOCOLATE COVERED PEANUT – MANÍ CON CHOCOLATE;GRS; $6.303 ;$ 7,24;$ 870;1,55;11,23
