
FAMILIA PRODUCTOS;DESCRIPCIÓN;UNIDAD DE MEDIDA;VALOR PESOS;PRECIO COSTO NETO ;VALOR DÓLAR $;PORCENTAJE;PRECIO VENTA NETO 
\PROVISIONES\CARNES;PORK HEAD - CABEZA DE CERDO;KILO;$ 2.247;2,61;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK KNUCKLES-PERNIL CERDO;KILO;$ 2.430;2,83;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK LEGS - PIERNA ENTERA BONE IN;KGS;$ 4.599;5,35;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK LOIN BONE IN - CHULETA ENTERA DE CERDO;KGS;$ 2.992;3,48;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK LOIN SLICED - CHULETA PORCIONADA;KGS;$ 4.350;;;;
\PROVISIONES\CARNES;PORK LIVER - HIGADO DE CERDO;KILO;$ 1.580;1,84;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK LUNCHEON MEAT- CHANCHO, CERDO CHINO 395GRS;TIN;$ 2.950;;;;
\PROVISIONES\CARNES;PORK RIB - COSTILLAR DE CERDO;KILO;$ 3.559;4,14;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK RUMP - ASIENTO CERDO;KGS;$ 6.714;7,81;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK SAUSAGE - SALCHICHA DE CERDO;KGS;$ 2.390;;;;
\PROVISIONES\CARNES;PORK SAUSAGE - LONGANIZA;KILO;$ 3.448;4,01;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK SHOULDERS - PULPA PIERNA DE CERDO S/HUESO;KILO;$ 3.381;3,93;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK 1/2 SIDE CARCASS - MITAD DE CERDO;KILO;$ 3.200;;;;
\PROVISIONES\CARNES;PORK SAUSAGE FRUNKFURTER;KILO;$ 12.404;;;;
\PROVISIONES\CARNES;PORK SIDE - CERDO EN VARA, MINIMUM 85-100KG;KILO;$ 3.184;3,70;$ 860;0,00;0,00
\PROVISIONES\CARNES;SALAMI ITALIAN - SALAME ITALIANO;KGS;$ 8.900;10,35;$ 860;0,00;0,00
\PROVISIONES\CARNES;SALAMI SMOKED - SALAME AHUMADO;KGS;$ 9.400;10,93;$ 860;0,00;0,00
\PROVISIONES\CARNES;SAUSAGE CERVELAT - FIAMBRE CERVECERO;KILO;$ 3.890;4,52;$ 860;0,00;0,00
\PROVISIONES\CARNES;SAUSAGE FRYING FINE - CHORIZO;KILO;$ 3.448;4,01;$ 860;0,00;0,00
\PROVISIONES\CARNES;SAUSAGE VIENNA - VIENESA VIENNA;KILO;$ 2.650;3,08;$ 860;0,00;0,00
\PROVISIONES\CARNES;SAUSAGE PORK - VIENESA DE CERDO;KILO;$ 2.382;;;;
\PROVISIONES\CARNES;SAUSAGE SUREÑA - VIENESA SUREÑA;KILO;$ 2.586;;;;
\PROVISIONES\CARNES;SLICED SERRANO HAM - JAMON SERRANO;KILO;$ 29.412;34,20;$ 860;0,00;0,00
\PROVISIONES\CARNES;SUCKLING PIG- CERDO LECHON;KGS;$ 14.000;16,28;$ 860;0,00;0,00
\PROVISIONES\CARNES;SWEET HAM - JAMON ACARAMELADO ;KGS;$ 6.960;8,09;$ 860;0,00;0,00
\PROVISIONES\CARNES;TURKEY BREAST - PAVO PECHUGA;KILO;$ 0;0,00;$ 860;0,00;0,00
\PROVISIONES\CARNES;VIENESA 17 CM HOT DOG;KGS;$ 2.508;2,92;$ 860;0,00;0,00
\PROVISIONES\CARNES;WHOLE LAMB - CORDERO ENTERO;KILO;$ 7.654;8,90;$ 860;0,00;0,00
\PROVISIONES\CARNES;WHOLE SMOKE PROCUITO - JAMON SERRANO PIERNA 4-4,5 KGS/PCS;PCS;$ 78.930;91,78;$ 860;0,00;0,00
\PROVISIONES\CARNES;PROCUITO SLICED;kilo;$ 42.774;;;;
\PROVISIONES\CARNES;WHOLE TURKEY - PAVO ENTERO;KILO;$ 5.034;5,85;$ 860;0,00;0,00
